Eastern Conference,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,1,2,3,4,5,6,7,8,,1-6,7,8,9,10,Out,,Win Conf,Win Finals
Boston Celtics,58.5,21.5,.731,3.28,-0.46,16.72,7-2,52-19,73-7,45-35,100.0%,82.9%,82.7,15.9,1.2,0.2,0.1,,,,,100.0,,,,,,,58.4%,44.5%
Philadelphia 76ers,53.1,26.9,.664,-0.06,0.13,11.19,7-1,46-26,68-12,37-43,99.9%,16.7%,16.6,65.7,11.5,3.6,1.5,0.7,0.3,0.2,,99.5,0.3,0.2,0.1,,,,23.7%,14.2%
New York Knicks,44.7,35.3,.559,0.84,0.39,5.22,4-4,41-31,60-20,30-50,87.4%,0.3%,0.3,4.7,20.7,18.9,14.7,11.8,9.4,6.9,,71.1,9.3,7.5,5.0,3.5,3.6,,5.0%,2.1%
Atlanta Hawks,43.8,36.2,.547,0.13,0.39,3.46,5-4,39-32,58-22,28-52,82.1%,52.0%,0.2,4.5,17.9,15.7,13.9,11.6,9.6,8.8,,63.8,10.0,8.6,7.0,4.7,6.0,,3.2%,1.1%
Indiana Pacers,43.3,36.7,.541,-1.91,0.61,2.54,6-3,37-34,58-22,29-51,79.4%,61.9%,0.1,3.6,15.7,15.4,14.5,12.2,9.7,8.4,,61.3,9.9,9.1,7.0,5.7,7.1,,2.7%,0.9%
Orlando Magic,42.4,37.6,.530,-1.83,0.42,2.17,5-4,37-34,57-23,26-54,72.4%,33.1%,0.1,2.4,10.4,12.0,12.7,12.6,12.1,10.3,,50.1,12.3,10.6,9.4,7.2,10.4,,2.0%,0.7%
Toronto Raptors,41.5,38.5,.518,3.66,0.26,2.10,4-5,37-34,56-24,25-55,64.0%,,,1.0,6.5,9.0,10.8,11.8,12.2,12.7,,39.1,12.8,11.7,11.6,9.5,15.2,,1.6%,0.6%
Brooklyn Nets,41.4,38.6,.517,3.01,0.37,2.01,4-5,37-34,58-22,26-54,63.6%,0.1%,,0.8,6.0,8.8,10.5,12.3,13.0,12.1,,38.5,11.9,13.1,11.5,10.0,14.9,,1.7%,0.6%
Cleveland Cavaliers,40.1,39.9,.501,2.62,0.07,0.40,4-5,36-35,56-24,25-55,50.6%,20.7%,,0.6,4.0,6.1,7.7,9.6,11.0,11.6,,28.0,11.2,11.4,12.7,12.1,24.6,,0.8%,0.2%
Miami Heat,39.5,40.5,.494,0.68,0.30,-0.77,5-4,34-37,54-26,24-56,43.9%,14.0%,,0.5,3.4,5.1,6.5,7.6,9.8,11.0,,23.1,9.5,10.9,12.3,14.2,29.9,,0.5%,0.1%
Milwaukee Bucks,39.2,40.8,.491,2.55,0.28,-1.11,5-4,34-37,54-26,25-55,42.0%,15.8%,,0.4,2.6,4.8,6.1,7.9,9.3,10.9,,21.8,9.0,11.1,13.2,13.7,31.2,,0.5%,0.1%
Chicago Bulls,33.3,46.7,.416,0.43,0.60,-4.57,3-6,30-41,48-32,19-61,5.2%,1.3%,,,0.1,0.2,0.5,0.7,1.4,2.3,,1.5,1.3,2.1,3.8,6.4,85.0,,,
Charlotte Hornets,33.1,46.9,.413,-0.30,0.87,-5.43,3-5,30-42,49-31,17-63,5.0%,0.7%,,,0.1,0.2,0.3,0.7,1.3,2.4,,1.3,1.3,1.9,3.3,5.8,86.4,,,
Washington Wizards,31.9,48.1,.399,1.58,0.64,-5.92,2-6,30-42,50-30,17-63,2.6%,0.3%,,,0.1,0.1,0.1,0.4,0.6,1.4,,0.6,0.7,1.0,1.9,3.9,91.8,,,
Detroit Pistons,31.1,48.9,.389,-1.15,0.82,-4.95,2-8,29-41,47-33,16-64,1.9%,0.3%,,,,0.1,0.1,0.2,0.4,1.2,,0.3,0.5,0.8,1.4,3.1,93.9,,,
